State,Action,Value
"(1, 1)","(1, 2)",-8.718075246073997
"(1, 1)","(2, 1)",-8.732265679476683
"(1, 2)","(1, 3)",-8.59025964230219
"(1, 2)","(1, 1)",-8.709309925460431
"(1, 2)","(2, 2)",-8.584219821215399
"(1, 3)","(1, 4)",-8.508092876183262
"(1, 3)","(1, 2)",-8.501638042090356
"(1, 4)","(1, 3)",-8.42167210892318
"(1, 4)","(2, 4)",-8.416886568227234
"(1, 5)","(1, 6)",-6.738699960897428
"(1, 6)","(1, 7)",-6.743949747794135
"(1, 6)","(1, 5)",-6.7337075748509
"(1, 6)","(2, 6)",-6.794623475812511
"(1, 7)","(1, 8)",-6.632932934892223
"(1, 7)","(1, 6)",-6.61704603333257
"(1, 8)","(1, 9)",-6.511281487037243
"(1, 8)","(1, 7)",-6.507194595046462
"(1, 9)","(1, 10)",-6.350125538441213
"(1, 9)","(1, 8)",-6.383024106826381
"(1, 10)","(1, 9)",-6.184029245002075
"(1, 10)","(2, 10)",-6.208113336021124
"(2, 1)","(1, 1)",-8.731168257481183
"(2, 2)","(1, 2)",-8.564458540927443
"(2, 2)","(3, 2)",-8.434586575947115
"(2, 3)","(3, 3)",-8.140597733256964
"(2, 4)","(2, 5)",-8.31657385602445
"(2, 4)","(1, 4)",-8.316720144555541
"(2, 5)","(2, 4)",-8.203656285963284
"(2, 5)","(3, 5)",-8.206211835515017
"(2, 6)","(1, 6)",-6.874454231672595
"(2, 6)","(3, 6)",-6.901710998991312
"(2, 7)","(2, 8)",-6.283200364590638
"(2, 7)","(3, 7)",-6.298782568475003
"(2, 8)","(2, 7)",-6.130013241371841
"(2, 8)","(3, 8)",-6.011623682244714
"(2, 9)","(2, 10)",-5.825558489512946
"(2, 9)","(3, 9)",-5.792139911513212
"(2, 10)","(2, 9)",-6.017573355950221
"(2, 10)","(1, 10)",-6.0445913699851355
"(3, 1)","(3, 2)",-8.2391533452364
"(3, 1)","(4, 1)",-8.098214099665192
"(3, 2)","(3, 3)",-8.271575608261212
"(3, 2)","(3, 1)",-8.271227225423157
"(3, 2)","(2, 2)",-8.367356358628099
"(3, 3)","(3, 4)",-8.10186118539897
"(3, 3)","(3, 2)",-8.14717055789194
"(3, 3)","(2, 3)",-8.149787687478854
"(3, 4)","(3, 5)",-8.0669205126893
"(3, 4)","(3, 3)",-7.948427734554219
"(3, 4)","(4, 4)",-7.9103507698614814
"(3, 5)","(3, 4)",-8.077739201731873
"(3, 5)","(2, 5)",-8.101045874512485
"(3, 6)","(3, 7)",-6.853381971632764
"(3, 6)","(2, 6)",-6.99338754667872
"(3, 6)","(4, 6)",-7.0324855962422985
"(3, 7)","(3, 6)",-6.935198534219369
"(3, 7)","(2, 7)",-6.516931513159786
"(3, 7)","(4, 7)",-6.507305171953973
"(3, 8)","(3, 9)",-5.704918531948181
"(3, 8)","(2, 8)",-5.764498461088146
"(3, 8)","(4, 8)",-5.7135336324314085
"(3, 9)","(3, 10)",-5.520907212103168
"(3, 9)","(3, 8)",-5.55400964968484
"(3, 9)","(2, 9)",-5.535400316082024
"(3, 10)","(3, 9)",-5.28118624751761
"(3, 10)","(4, 10)",-5.130117123705418
"(4, 1)","(4, 2)",-7.903983296061995
"(4, 1)","(3, 1)",-7.9822848672557445
"(4, 1)","(5, 1)",-7.903289593392924
"(4, 2)","(4, 3)",-7.686392875588722
"(4, 2)","(4, 1)",-7.877683342357827
"(4, 3)","(4, 2)",-7.516175640056237
"(4, 3)","(5, 3)",-7.441240604254588
"(4, 4)","(4, 5)",-7.688630253253859
"(4, 4)","(3, 4)",-7.948636961096637
"(4, 5)","(4, 6)",-7.439728399668544
"(4, 5)","(4, 4)",-7.74003332571194
"(4, 6)","(4, 5)",-7.42854301367057
"(4, 6)","(3, 6)",-7.162142553615469
"(4, 7)","(3, 7)",-6.655906315303225
"(4, 7)","(5, 7)",-6.1218137077132315
"(4, 8)","(3, 8)",-5.458250836890933
"(4, 8)","(5, 8)",-5.422423328332106
"(4, 9)","(4, 10)",-4.70851618564498
"(4, 9)","(5, 9)",-4.688558067184679
"(4, 10)","(4, 9)",-4.7295761466018895
"(4, 10)","(3, 10)",-4.87603303186829
"(4, 10)","(5, 10)",-4.652339359046748
